Patch ID,Vendor,Drop Reason,Details
RHBA-2025:16680,Red Hat,Garbage Data,"Contains ""openshift"""
RHBA-2025:20964,Red Hat,Garbage Data,"Contains ""openshift"""
RHBA-2025:23151,Red Hat,Garbage Data,"Contains ""openshift"""
RHBA-2026:0138,Red Hat,Garbage Data,"Contains ""openshift"""
RHBA-2026:0988,Red Hat,Garbage Data,"Contains ""kubernetes"""
RHBA-2026:1622,Red Hat,Garbage Data,"Contains ""kubernetes"""
RHSA-2025:15673,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:15723,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:15725,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:15726,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:15727,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:15872,Red Hat,Garbage Data,"Contains ""kubernetes"""
RHSA-2025:16160,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:16165,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:16595,Red Hat,Garbage Data,"Contains ""kubernetes"""
RHSA-2025:16668,Red Hat,Garbage Data,"Matches ""rhel 7"" for Red Hat"
RHSA-2025:16747,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:17671,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:17730,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:17731,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:18241,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:18242,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:18252,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:19221,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:19296,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:19332,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:19335,Red Hat,Garbage Data,"Contains ""kubernetes"""
RHSA-2025:19380,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:19381,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:19397,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:19421,Red Hat,Invalid Product Variant,"Did not match target RHEL streams. Products: ['Red Hat Enterprise Linux AI', 'Red Hat Enterprise Linux AI 1.5']"
RHSA-2025:19422,Red Hat,Invalid Product Variant,"Did not match target RHEL streams. Products: ['Red Hat Enterprise Linux AI', 'Red Hat Enterprise Linux AI 1.5']"
RHSA-2025:19423,Red Hat,Invalid Product Variant,"Did not match target RHEL streams. Products: ['Red Hat Enterprise Linux AI', 'Red Hat Enterprise Linux AI 1.5']"
RHSA-2025:19424,Red Hat,Invalid Product Variant,"Did not match target RHEL streams. Products: ['Red Hat Enterprise Linux AI', 'Red Hat Enterprise Linux AI 1.5']"
RHSA-2025:19425,Red Hat,Invalid Product Variant,"Did not match target RHEL streams. Products: ['Red Hat Enterprise Linux AI', 'Red Hat Enterprise Linux AI 1.5']"
RHSA-2025:19426,Red Hat,Invalid Product Variant,"Did not match target RHEL streams. Products: ['Red Hat Enterprise Linux AI', 'Red Hat Enterprise Linux AI 1.5']"
RHSA-2025:19427,Red Hat,Invalid Product Variant,"Did not match target RHEL streams. Products: ['Red Hat Enterprise Linux AI', 'Red Hat Enterprise Linux AI 1.5']"
RHSA-2025:19428,Red Hat,Invalid Product Variant,"Did not match target RHEL streams. Products: ['Red Hat Enterprise Linux AI', 'Red Hat Enterprise Linux AI 1.5']"
RHSA-2025:19429,Red Hat,Invalid Product Variant,"Did not match target RHEL streams. Products: ['Red Hat Enterprise Linux AI', 'Red Hat Enterprise Linux AI 1.5']"
RHSA-2025:19430,Red Hat,Invalid Product Variant,"Did not match target RHEL streams. Products: ['Red Hat Enterprise Linux AI', 'Red Hat Enterprise Linux AI 1.5']"
RHSA-2025:19529,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:19566,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:19594,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:19731,Red Hat,Garbage Data,"Contains ""kubernetes"""
RHSA-2025:19804,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:19958,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:19961,Red Hat,Garbage Data,"Contains ""kubernetes"""
RHSA-2025:20909,Red Hat,Garbage Data,"Contains ""kubernetes"""
RHSA-2025:20983,Red Hat,Garbage Data,"Contains ""kubernetes"""
RHSA-2025:21132,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:21148,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21220,Red Hat,Garbage Data,"Contains ""kubernetes"""
RHSA-2025:21328,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:21336,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21337,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21368,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:21382,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21383,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21384,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21385,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21633,Red Hat,Invalid Product Variant,"Did not match target RHEL streams. Products: ['Red Hat Enterprise Linux', 'Red Hat Enterprise Linux AppStream EUS (v. 10.0)']"
RHSA-2025:21634,Red Hat,Invalid Product Variant,"Did not match target RHEL streams. Products: ['Red Hat Enterprise Linux', 'Red Hat Enterprise Linux AppStream EUS (v.9.6)']"
RHSA-2025:21702,Red Hat,Garbage Data,"Contains ""kubernetes"""
RHSA-2025:21704,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:21706,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21768,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21775,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21778,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21779,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21795,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:21815,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21816,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21824,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:21856,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:21885,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:21892,Red Hat,Garbage Data,"Contains ""kubernetes"""
RHSA-2025:21964,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:22014,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:22030,Red Hat,Garbage Data,"Contains ""kubernetes"""
RHSA-2025:22179,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:22181,Red Hat,Severity Under Threshold,Severity: Moderate
RHSA-2025:22182,Red Hat,Missing Affected Products,Empty or missing list
RHSA-2025:22255,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:22275,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:22287,Red Hat,Missing Affected Products,Empty or missing list
RHSA-2025:22345,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:22415,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:22416,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:22418,Red Hat,Garbage Data,"Contains ""openshift"""
RHSA-2025:22420,Red Hat,Garbage Data,"Contains ""openshift"""
